Generador;True Positive;False Positive;False Negative;Precision;Recall;F1
o1980;77;36;147;0.6814159292035398;0.34375;0.45697329376854595
o1988;76;28;148;0.7307692307692307;0.3392857142857143;0.4634146341463415
o1992;64;20;160;0.7619047619047619;0.2857142857142857;0.41558441558441556
o2008;41;0;183;1.0;0.18303571428571427;0.30943396226415093
d2016;40;12;184;0.7692307692307693;0.17857142857142858;0.2898550724637681
